newick	colless	sackin	cophenetic	qi	cherries	automorphisms
(*,(*,((*,(*,(*,(*,*)))),(*,(*,(*,(*,*)))))));	31	61	140	300	2	8
(*,(*,((*,(*,(*,(*,*)))),(*,((*,*),(*,*))))));	28	60	138	303	3	16
(*,(*,((*,(*,(*,(*,*)))),((*,*),(*,(*,*))))));	27	59	135	309	3	8
(*,(*,((*,(*,(*,(*,(*,*))))),((*,*),(*,*)))));	31	61	143	273	3	16
(*,(*,((*,(*,((*,*),(*,*)))),((*,*),(*,*)))));	28	60	141	276	4	64
(*,(*,((*,((*,*),(*,*))),(*,((*,*),(*,*))))));	25	59	136	306	4	128
(*,(*,((*,((*,*),(*,*))),((*,*),(*,(*,*))))));	24	58	133	312	4	32
(*,(*,((*,((*,*),(*,(*,*)))),((*,*),(*,*)))));	27	59	138	282	4	32
(*,(*,(((*,*),(*,*)),((*,*),(*,(*,(*,*)))))));	26	58	134	291	4	32
(*,(*,(((*,*),(*,*)),((*,*),((*,*),(*,*))))));	23	57	132	294	5	128
(*,(*,(((*,*),(*,*)),((*,(*,*)),(*,(*,*))))));	23	57	131	300	4	64
(*,(*,(((*,*),(*,(*,*))),((*,*),(*,(*,*))))));	23	57	130	318	4	32
(*,((*,*),(*,(*,(*,(*,(*,(*,(*,(*,*))))))))));	45	69	176	108	2	4
(*,((*,*),(*,(*,(*,(*,(*,((*,*),(*,*)))))))));	42	68	174	111	3	16
(*,((*,*),(*,(*,(*,(*,((*,*),(*,(*,*)))))))));	41	67	171	117	3	8
(*,((*,*),(*,(*,(*,((*,*),(*,(*,(*,*)))))))));	40	66	167	126	3	8
(*,((*,*),(*,(*,(*,((*,*),((*,*),(*,*))))))));	37	65	165	129	4	32
(*,((*,*),(*,(*,(*,((*,(*,*)),(*,(*,*))))))));	37	65	164	135	3	16
(*,((*,*),(*,(*,((*,*),(*,(*,(*,(*,*)))))))));	39	65	162	138	3	8
(*,((*,*),(*,(*,((*,*),(*,((*,*),(*,*))))))));	36	64	160	141	4	32
(*,((*,*),(*,(*,((*,*),((*,*),(*,(*,*))))))));	35	63	157	147	4	16
(*,((*,*),(*,(*,((*,(*,*)),(*,(*,(*,*))))))));	35	63	155	162	3	8
(*,((*,*),(*,(*,((*,(*,*)),((*,*),(*,*)))))));	32	62	153	165	4	32
(*,((*,*),(*,((*,*),(*,(*,(*,(*,(*,*)))))))));	38	64	156	153	3	8
(*,((*,*),(*,((*,*),(*,(*,((*,*),(*,*))))))));	35	63	154	156	4	32
(*,((*,*),(*,((*,*),(*,((*,*),(*,(*,*))))))));	34	62	151	162	4	16
(*,((*,*),(*,((*,*),((*,*),(*,(*,(*,*))))))));	33	61	147	171	4	16
(*,((*,*),(*,((*,*),((*,*),((*,*),(*,*)))))));	30	60	145	174	5	64
(*,((*,*),(*,((*,*),((*,(*,*)),(*,(*,*)))))));	30	60	144	180	4	32
(*,((*,*),(*,((*,(*,*)),(*,(*,(*,(*,*))))))));	33	61	144	198	3	8
(*,((*,*),(*,((*,(*,*)),(*,((*,*),(*,*)))))));	30	60	142	201	4	32
(*,((*,*),(*,((*,(*,*)),((*,*),(*,(*,*)))))));	29	59	139	207	4	16
(*,((*,*),(*,((*,(*,(*,*))),(*,(*,(*,*)))))));	30	60	140	216	3	16
(*,((*,*),(*,((*,(*,(*,*))),((*,*),(*,*))))));	27	59	138	219	4	32
(*,((*,*),(*,(((*,*),(*,*)),((*,*),(*,*))))));	24	58	136	222	5	256
(*,((*,*),((*,*),(*,(*,(*,(*,(*,(*,*)))))))));	37	63	149	171	3	8
(*,((*,*),((*,*),(*,(*,(*,((*,*),(*,*))))))));	34	62	147	174	4	32
(*,((*,*),((*,*),(*,(*,((*,*),(*,(*,*))))))));	33	61	144	180	4	16
(*,((*,*),((*,*),(*,((*,*),(*,(*,(*,*))))))));	32	60	140	189	4	16
(*,((*,*),((*,*),(*,((*,*),((*,*),(*,*)))))));	29	59	138	192	5	64
(*,((*,*),((*,*),(*,((*,(*,*)),(*,(*,*)))))));	29	59	137	198	4	32
(*,((*,*),((*,*),((*,*),(*,(*,(*,(*,*))))))));	31	59	135	201	4	16
(*,((*,*),((*,*),((*,*),(*,((*,*),(*,*)))))));	28	58	133	204	5	64
(*,((*,*),((*,*),((*,*),((*,*),(*,(*,*)))))));	27	57	130	210	5	32
(*,((*,*),((*,*),((*,(*,*)),(*,(*,(*,*)))))));	27	57	128	225	4	16
(*,((*,*),((*,*),((*,(*,*)),((*,*),(*,*))))));	24	56	126	228	5	64
(*,((*,*),((*,(*,*)),(*,(*,(*,(*,(*,*))))))));	31	59	131	243	3	8
(*,((*,*),((*,(*,*)),(*,(*,((*,*),(*,*)))))));	28	58	129	246	4	32
(*,((*,*),((*,(*,*)),(*,((*,*),(*,(*,*)))))));	27	57	126	252	4	16
(*,((*,*),((*,(*,*)),((*,*),(*,(*,(*,*)))))));	26	56	122	261	4	16
(*,((*,*),((*,(*,*)),((*,*),((*,*),(*,*))))));	23	55	120	264	5	64
